H4,L1,L3,H2,L3
H4,L1,L3,H2,L3
H4,L1,L3,H2,L3
H4,H3,L3,H2,L3
H4,H3,H5,H4,L3
L2,H3,H5,H4,L5
L2,H3,H5,H4,L5
L2,H3,H5,L3,L5
L2,L4,G,L3,L5
L5,L4,G,L3,H2
L5,L4,G,L1,H2
L5,L4,G,L1,H2
L5,L2,L4,L1,H2
S,L2,L4,L1,H4
S,L2,L4,S,H4
S,H5,H2,S,H4
S,H5,H2,S,H4
L3,H5,H2,G,H1
L3,H5,H1,G,H1
L3,G,H1,G,H1
L3,G,H1,G,H1
L1,G,H1,L5,H5
L1,G,L2,L5,H5
L1,L5,L2,L5,H5
L1,L5,L2,H3,H5
H1,L5,L2,H3,L4
H1,H1,S,H3,L4
H1,H1,S,H3,L4
H1,H1,S,H5,L4
H1,H1,L1,H5,L2
L4,H2,L1,H5,L2
L4,H2,L1,L2,L2
L4,H2,H4,L2,L2
L4,H2,H4,L2,G
L4,L3,H4,H1,G
H5,L3,H4,H1,G
H5,L3,L5,H1,G
H5,H4,L5,H1,L1
H5,H4,L5,W,L1
H2,H4,G,W,L1
H2,S,G,W,L1
H2,S,G,W,H3
H2,S,G,L4,H3
H3,L2,H3,L4,H3
H3,L2,H3,L4,H3
H3,L2,H3,L4,H3
H3,L2,H3,L2,H2
L2,H5,L4,L2,H2
L2,H5,L4,L2,H2
L2,H5,L4,S,H2
L2,H5,L4,S,L5
L5,L1,S,S,L5
L5,L1,S,H2,L5
L5,L1,S,H2,L5
L5,L1,H2,H2,L5
L1,H4,H2,H2,H5
L1,H4,H2,H5,H5
L1,H4,L1,H5,H5
L1,H4,L1,H5,H5
L3,G,L1,H5,L4
L3,G,L1,L3,L4
L3,G,L3,L3,L4
L3,G,L3,L3,L4
H4,L3,L3,L3,S
H4,L3,H5,H4,S
H4,H2,H5,H4,S
H4,H2,H5,H4,S
L4,H2,H5,H4,L3
L4,H2,W,L5,L3
L4,S,W,L5,L3
L4,S,W,L5,L1
L4,S,W,L5,L1
H2,L5,L2,G,L1
H2,L5,L2,G,L1
H2,L5,L2,G,L1
H2,L5,L2,G,H2
H5,H1,H4,H1,H2
H5,H1,H4,H1,H2
H5,H1,H4,H1,H2
H5,H1,H4,H1,H4
L1,L4,L5,L2,H4
L1,L4,L5,L2,H4
L1,L4,L5,L2,H4
L1,L4,L5,L2,H4
